Age,Gender,Area of Residence,Educational Qualification,What is your Annual Income?,"On a scale of 1 to 5, how would you rate the availability of affordable and nutritious food options in your community?",How far is the nearest grocery store or market from your residence?,Have you ever experienced shortages or stockouts of essential food items in local shops or markets?,"On average, how much time do you spend traveling to purchase groceries or food items?","On average, how much of your monthly income do you allocate towards purchasing food?",How reliable do you find transportation options to access food retailers or markets in your community?,How frequently do you consume locally sourced food products?,What factors influence your decision to choose locally sourced food products? (Select all that apply),How frequently do you consume processed or packaged food items?,How frequently do you consume fast food or takeout meals?,"Do you follow any specific dietary restrictions or guidelines (e.g., vegetarian, vegan, gluten-free)?",How often do you eat meals together with family or household members?,Have you experienced food insecurity in the past year?,How often do you feel that the food you have access to is of poor quality or has insufficient nutritional value?,How satisfied are you with the variety of food available to you within your budget?,Have you or any family members experienced weight loss or malnutrition due to lack of access to adequate food?,Do you ever rely on food aid or assistance from charitable organizations to meet your nutritional needs?,How frequently do you skip meals due to financial constraints or lack of access to food?,Have you or your family members ever benefited from government food assistance programs such as the Public Distribution System (PDS) or the Mid-Day Meal Scheme?,How supportive do you find your community in addressing food justice issues?,"How often do you participate in community events or activities related to food (e.g., food drives, community meals)?",Do you believe that food justice and equity should be a priority for government policies?,How aware are you of government policies related to food security and nutrition?,Have you ever participated in advocacy or activism efforts aimed at improving food access and security in your community?,"How often do you consider the environmental impact of your food choices (e.g., carbon footprint, water usage, deforestation)?",Are you willing to pay a premium for food products that are produced in an environmentally sustainable manner?,"How frequently do you grow your own food (e.g., vegetables, herbs) at home or in a community garden?","How important is it for you to choose food products that are packaged in environmentally friendly materials (e.g., recyclable, biodegradable)?",How often do you incorporate locally sourced ingredients into your meals?,"When making food choices, which factor influences you the most?",To what extent do cultural traditions influence your food choices?,How often do you share meals with family members or friends to maintain cultural traditions or social connections? ,"How comfortable do you feel expressing your dietary preferences or restrictions in social settings (e.g., family gatherings, social events)?",How important is it for you to preserve and pass down traditional recipes or culinary practices within your family or community?,How well do you think your community celebrates and promotes diverse food cultures?,"To what extent do you agree with the statement, ""Cooking skills are an important part of a healthy lifestyle""?","Have you experienced discrimination based on caste, ethnicity, or socio-economic status when accessing food resources?",Have you ever avoided bringing certain foods or meals to school or work because you were afraid of being judged or shamed by others?,Do you believe that schools or workplaces should implement policies or education programs to address lunchbox shaming and promote food acceptance and inclusivity?,Have you (or any close one) ever faced challenges in accessing food resources due to physical disabilities or mobility issues?,How often do you encounter barriers such as language or cultural differences when accessing information about food resources or nutrition?,Do you think there is sufficient awareness and action within your community to address food justice issues?,Do you use online grocery delivery services or food ordering apps?,Would you be comfortable using blockchain technology to track the origin and sustainability of food products?,How often do you use food tracking or calorie counting apps to monitor your dietary intake?,Do you believe that technology has positively or negatively impacted people's overall relationship with food?,"How often do you engage with food-related content on streaming platforms (e.g., cooking shows, food documentaries)?","How often do you use technology (e.g., smart kitchen appliances, cooking apps) to assist you in meal preparation or cooking?",How knowledgeable do you feel about the connection between nutrition and mental health?,Do you believe there is a stigma associated with talking about food insecurity or mental health?,How often do you experience changes in your appetite or eating habits during periods of stress or emotional distress?,"Have you ever sought professional help or counseling for mental health concerns related to food, such as disordered eating or emotional eating?",Do you think mental health support services should include resources or programs specifically addressing the relationship between food and mental well-being? ,"Have you ever used food as a coping mechanism during times of stress, sadness, or anxiety? "
21,Female,Urban,Bachelor's Degree,INR 1-5 Lakhs,3 (Moderate),Less than 1km,No,Less than 15 minutes,More than 40%,Very Reliable,Occasionally,Quality,Occasionally,Often,Yes (Strictly),Sometimes,No,Rarely or Never,Somewhat Satisfied,No,"No, Never",Never,No,Neutral,Rarely,Yes,Somewhat Aware,Never,Never,"Yes, Sometimes",Never,Somewhat Important,Rarely,Nutritional Value,To a great extent,Often,Comfortable,Very important,Somewhat well,Agree,No,"No, never",Agree,No,Never,"No, not enough",Yes,Yes,Rarely,Negatively,Occasionally,Rarely,Not knowledgeable at all,Yes,Often,No,Agree,Occasionally
21,Male,Semi Urban,High School,None as of now (Student),4 (Abundant),Less than 1km,No,Less than 15 minutes,Less than 10%,Somewhat Reliable,Always,"Price, Quality, Health Benefits, Environmental Sustainability",Occasionally,Occasionally,Yes (Strictly),Always,No,Rarely or Never,Somewhat Satisfied,No,"No, Never",Never,No,Neutral,Never,Not Sure,Not very aware,Never,Never,"Yes, Always",Sometimes,Somewhat Important,Often,Taste and Flavour,Somewhat,Sometimes,Neutral,Slightly important,Somewhat well,Agree,No,"No, never",Agree,No,Never,"No, not enough",Yes,Yes,Rarely,Negatively,Occasionally,Occasionally,Somewhat knowledgeable,No,Sometimes,No,Neutral,Never
19,Male,Urban,"High school graduate, diploma or the equivalent",None as of now (Student),4 (Abundant),Less than 1km,No,Less than 15 minutes,10% - 20%,Very Reliable,Rarely or Never,Quality,Often,Sometimes,No,Always,No,Rarely or Never,Very Satisfied,No,"No, Never",Never,No,Supportive,Never,Yes,Not very aware,Never,Never,"No, Never",Never,Somewhat Important,Rarely,Taste and Flavour,Very Much,Always,Neutral,Very important,Not at all well,Strongly agree,No,"Yes, frequently",Strongly agree,No,Never,"Yes, definitely",No,Yes,Never,Negatively,Several times a week,Rarely,Somewhat knowledgeable,Yes,Always,No,Strongly agree,Frequently
20,Male,Urban,Bachelor's Degree,None as of now (Student),2 (Limited),1-3 km,Yes,15-30 minutes,20% - 30%,Reliable,Sometimes,Price,Often,Sometimes,Yes (Sometimes),Always,Yes,Often,Very Satisfied,No,"Yes, Occasionaly",Sometimes,No,Supportive,Often,No,Very Aware,"Yes, Regularly",Sometimes,"Yes, Always",Never,Somewhat Important,Often,Convenience,Somewhat,Rarely,Neutral,Extremely important,Moderately well,Strongly agree,Yes,"Yes, frequently",Disagree,No,Frequently,"No, not at all",No,Yes,Occasionally,Negatively,Occasionally,Rarely,Slightly knowledgeable,No,Rarely,No,Neutral,Occasionally
21,Male,Urban,"High school graduate, diploma or the equivalent",None as of now (Student),3 (Moderate),more than 5km,No,Less than 15 minutes,10% - 20%,Reliable,Often,"Price, Quality, Supporting Local Farmers",Occasionally,Sometimes,No,Often,No,Sometimes,Neutral,No,"No, Never",Rarely,No,Neutral,Sometimes,Yes,Not aware at all,Never,Never,"Yes, Sometimes",Often,Important,Often,Taste and Flavour,Somewhat,Often,Uncomfortable,Very important,Very well,Agree,No,"No, never",Agree,No,Rarely,"No, not enough",Yes,Yes,Several times a week,Positively,Occasionally,Several times a week,Somewhat knowledgeable,Yes,Always,No,Agree,Never
20,Male,Urban,Bachelor's Degree,None as of now (Student),5 (Very Abundant),Less than 1km,No,Less than 15 minutes,20% - 30%,Very Reliable,Sometimes,"Price, Quality, Health Benefits, Supporting Local Farmers",Often,Sometimes,No,Sometimes,No,Sometimes,Somewhat Satisfied,No,"No, Never",Rarely,No,Neutral,Never,Yes,Neutral,Never,Sometimes,"Yes, Sometimes",Never,Somewhat Important,Often,Taste and Flavour,Somewhat,Sometimes,Neutral,Moderately important,Somewhat well,Strongly agree,No,"No, never",Agree,No,Never,"Yes, definitely",Yes,Yes,Never,Positively,Occasionally,Rarely,Moderately knowledgeable,Yes,Often,No,Neutral,Never
19,Male,Urban,"High school graduate, diploma or the equivalent",None as of now (Student),4 (Abundant),1-3 km,No,More than 1 hour,Less than 10%,Reliable,Always,"Price, Quality",Often,Rarely or Never,Yes (Strictly),Always,No,Occasionally,Very Satisfied,No,"No, Never",Never,Yes,Neutral,Never,Not Sure,Somewhat Aware,Never,Never,"No, Never",Never,Not very Important,Sometimes,Cost,Very Much,Rarely,Uncomfortable,Very important,Very well,Strongly agree,Yes,"No, never",Neutral,No,Rarely,"No, not enough",No,No,Never,Neutral,Never,Occasionally,Somewhat knowledgeable,Yes,Always,No,Agree,Never
19,Male,Rural,Bachelor's Degree,None as of now (Student),2 (Limited),3-5 km,No,30 minutes - 1 hour,10% - 20%,Reliable,Rarely or Never,"Price, Quality, Health Benefits",Rarely or Never,Occasionally,Yes (Sometimes),Rarely or Never,Yes,Often,Somewhat dissatisfied,Yes,"No, Never",Sometimes,No,Neutral,Rarely,Not Sure,Not very aware,Never,Sometimes,"Yes, Sometimes",Rarely,Somewhat Important,Sometimes,Nutritional Value,Somewhat,Rarely,Uncomfortable,Moderately important,Very well,Disagree,No,"Yes, occasionally",Neutral,No,Occasionally,"Yes, to some extent",Yes,Yes,Never,Neutral,Rarely,Rarely,Moderately knowledgeable,Yes,Sometimes,No,Neutral,Rarely
19,Male,Rural,Bachelor's Degree,None as of now (Student),3 (Moderate),1-3 km,Yes,15-30 minutes,20% - 30%,Reliable,Occasionally,"Health Benefits, Supporting Local Farmers, Environmental Sustainability",Occasionally,Occasionally,Yes (Sometimes),Always,No,Occasionally,Neutral,No,"Yes, Occasionaly",Sometimes,No,Not Supportive at all,Rarely,Not Sure,Not aware at all,"Yes, Occasionally",Rarely,"Yes, Sometimes",Sometimes,Very Important,Sometimes,Taste and Flavour,Slightly,Always,Neutral,Moderately important,Moderately well,Neutral,Yes,"Yes, occasionally",Neutral,No,Rarely,"Yes, definitely",Yes,Yes,Occasionally,Neutral,Occasionally,Several times a week,Moderately knowledgeable,No,Sometimes,Yes,Neutral,Occasionally
21,Male,Urban,Bachelor's Degree,None as of now (Student),3 (Moderate),3-5 km,No,15-30 minutes,10% - 20%,Somewhat Reliable,Occasionally,"Price, Health Benefits, Supporting Local Farmers",Often,Often,No,Occasionally,No,Sometimes,Somewhat Satisfied,No,"No, Never",Rarely,No,Neutral,Rarely,Yes,Neutral,Never,Rarely,"Yes, Sometimes",Never,Important,Often,Taste and Flavour,Somewhat,Sometimes,Uncomfortable,Moderately important,Somewhat well,Agree,No,"No, never",Neutral,No,Never,"No, not enough",Yes,Yes,Rarely,Neutral,Rarely,Rarely,Somewhat knowledgeable,Yes,Sometimes,No,Neutral,Rarely
